season,round,constructor,constructor_points_after_race,constructor_wins_after_race,constructor_standings_pos_after_race,constructor_points,constructor_wins,constructor_standings_pos
1958,1,cooper,8.0,1,1,0.0,0.0,0.0
1958,1,ferrari,6.0,0,2,0.0,0.0,0.0
1958,1,maserati,3.0,0,3,0.0,0.0,0.0
1958,2,cooper,16.0,2,1,8.0,1.0,1.0
1958,2,ferrari,12.0,0,2,6.0,0.0,2.0
1958,2,maserati,3.0,0,3,3.0,0.0,3.0
1958,2,brm,2.0,0,4,0.0,0.0,0.0
1958,2,team_lotus,0.0,0,5,0.0,0.0,0.0
1958,2,vanwall,0.0,0,6,0.0,0.0,0.0
1958,2,connaught,0.0,0,7,0.0,0.0,0.0
1958,2,osca,0.0,0,8,0.0,0.0,0.0
1958,3,cooper,19.0,2,1,16.0,2.0,1.0
1958,3,ferrari,14.0,0,2,12.0,0.0,2.0
1958,3,vanwall,8.0,1,3,0.0,0.0,6.0
1958,3,brm,8.0,0,4,2.0,0.0,4.0
1958,3,maserati,3.0,0,5,3.0,0.0,3.0
1958,3,team_lotus,0.0,0,6,0.0,0.0,5.0
1958,3,porsche,0.0,0,7,0.0,0.0,0.0
1958,3,connaught,0.0,0,8,0.0,0.0,7.0
1958,3,osca,0.0,0,9,0.0,0.0,8.0
1958,4,cooper,19.0,2,1,19.0,2.0,1.0
1958,4,ferrari,14.0,0,2,14.0,0.0,2.0
1958,4,vanwall,8.0,1,3,8.0,1.0,3.0
1958,4,brm,8.0,0,4,8.0,0.0,4.0
1958,4,maserati,3.0,0,5,3.0,0.0,5.0
1958,4,team_lotus,0.0,0,6,0.0,0.0,6.0
1958,4,porsche,0.0,0,7,0.0,0.0,7.0
1958,4,connaught,0.0,0,8,0.0,0.0,8.0
1958,4,osca,0.0,0,9,0.0,0.0,9.0
1958,5,ferrari,20.0,0,1,14.0,0.0,2.0
1958,5,cooper,19.0,2,2,19.0,2.0,1.0
1958,5,vanwall,16.0,2,3,8.0,1.0,3.0
1958,5,brm,10.0,0,4,8.0,0.0,4.0
1958,5,maserati,3.0,0,5,3.0,0.0,5.0
1958,5,team_lotus,3.0,0,6,0.0,0.0,6.0
1958,5,porsche,0.0,0,7,0.0,0.0,7.0
1958,5,connaught,0.0,0,8,0.0,0.0,8.0
1958,5,osca,0.0,0,9,0.0,0.0,9.0
1958,6,ferrari,28.0,1,1,20.0,0.0,1.0
