season,round,driver,driver_points_after_race,driver_wins_after_race,driver_standings_pos_after_race,driver_points,driver_wins,driver_standings_pos
1950,1,farina,9.0,1,1,0.0,0.0,0.0
1950,1,fagioli,6.0,0,2,0.0,0.0,0.0
1950,1,reg_parnell,4.0,0,3,0.0,0.0,0.0
1950,1,cabantous,3.0,0,4,0.0,0.0,0.0
1950,1,rosier,2.0,0,5,0.0,0.0,0.0
1950,1,gerard,0.0,0,6,0.0,0.0,0.0
1950,1,harrison,0.0,0,7,0.0,0.0,0.0
1950,1,etancelin,0.0,0,8,0.0,0.0,0.0
1950,1,hampshire,0.0,0,9,0.0,0.0,0.0
1950,1,fry,0.0,0,10,0.0,0.0,0.0
1950,1,shawe_taylor,0.0,0,11,0.0,0.0,0.0
1950,1,claes,0.0,0,12,0.0,0.0,0.0
1950,1,fangio,0.0,0,13,0.0,0.0,0.0
1950,1,kelly,0.0,0,14,0.0,0.0,0.0
1950,1,bira,0.0,0,15,0.0,0.0,0.0
1950,1,murray,0.0,0,16,0.0,0.0,0.0
1950,1,crossley,0.0,0,17,0.0,0.0,0.0
1950,1,graffenried,0.0,0,18,0.0,0.0,0.0
1950,1,chiron,0.0,0,19,0.0,0.0,0.0
1950,1,martin,0.0,0,20,0.0,0.0,0.0
1950,1,rolt,0.0,0,21,0.0,0.0,0.0
1950,1,peter_walker,0.0,0,22,0.0,0.0,0.0
1950,1,leslie_johnson,0.0,0,23,0.0,0.0,0.0
1950,2,farina,9.0,1,1,9.0,1.0,1.0
1950,2,fangio,9.0,1,2,0.0,0.0,13.0
1950,2,fagioli,6.0,0,3,6.0,0.0,2.0
1950,2,ascari,6.0,0,4,0.0,0.0,0.0
1950,2,chiron,4.0,0,5,0.0,0.0,19.0
1950,2,reg_parnell,4.0,0,6,4.0,0.0,3.0
1950,2,cabantous,3.0,0,7,3.0,0.0,4.0
1950,2,sommer,3.0,0,8,0.0,0.0,0.0
1950,2,rosier,2.0,0,9,2.0,0.0,5.0
1950,2,bira,2.0,0,10,0.0,0.0,15.0
1950,2,gerard,0.0,0,11,0.0,0.0,6.0
1950,2,claes,0.0,0,12,0.0,0.0,12.0
1950,2,harrison,0.0,0,13,0.0,0.0,7.0
1950,2,etancelin,0.0,0,14,0.0,0.0,8.0
1950,2,hampshire,0.0,0,15,0.0,0.0,9.0
1950,2,fry,0.0,0,16,0.0,0.0,10.0
1950,2,shawe_taylor,0.0,0,17,0.0,0.0,11.0
1950,2,villoresi,0.0,0,18,0.0,0.0,0.0
1950,2,gonzalez,0.0,0,19,0.0,0.0,0.0
1950,2,kelly,0.0,0,20,0.0,0.0,14.0
1950,2,manzon,0.0,0,21,0.0,0.0,0.0
1950,2,graffenried,0.0,0,22,0.0,0.0,18.0
1950,2,murray,0.0,0,23,0.0,0.0,16.0
1950,2,crossley,0.0,0,24,0.0,0.0,17.0
1950,2,trintignant,0.0,0,25,0.0,0.0,0.0
1950,2,rol,0.0,0,26,0.0,0.0,0.0
1950,2,martin,0.0,0,27,0.0,0.0,20.0
1950,2,schell,0.0,0,28,0.0,0.0,0.0
1950,2,rolt,0.0,0,29,0.0,0.0,21.0
1950,2,peter_walker,0.0,0,30,0.0,0.0,22.0
1950,3,farina,9.0,1,1,9.0,1.0,1.0
1950,3,fangio,9.0,1,2,9.0,1.0,2.0
1950,3,parsons,9.0,1,3,0.0,0.0,0.0
1950,3,fagioli,6.0,0,4,6.0,0.0,3.0
1950,3,ascari,6.0,0,5,6.0,0.0,4.0
1950,3,holland,6.0,0,6,0.0,0.0,0.0
1950,3,chiron,4.0,0,7,4.0,0.0,5.0
1950,3,reg_parnell,4.0,0,8,4.0,0.0,6.0
1950,3,rose,4.0,0,9,0.0,0.0,0.0
1950,3,cabantous,3.0,0,10,3.0,0.0,7.0
1950,3,green,3.0,0,11,0.0,0.0,0.0
1950,3,sommer,3.0,0,12,3.0,0.0,8.0
1950,3,rosier,2.0,0,13,2.0,0.0,9.0
1950,3,bira,2.0,0,14,2.0,0.0,10.0
1950,3,bettenhausen,1.0,0,15,0.0,0.0,0.0
1950,3,chitwood,1.0,0,16,0.0,0.0,0.0
1950,3,gerard,0.0,0,17,0.0,0.0,11.0
1950,3,wallard,0.0,0,18,0.0,0.0,0.0
1950,3,claes,0.0,0,19,0.0,0.0,12.0
1950,3,harrison,0.0,0,20,0.0,0.0,13.0
1950,3,faulkner,0.0,0,21,0.0,0.0,0.0
1950,3,etancelin,0.0,0,22,0.0,0.0,14.0
1950,3,george_connor,0.0,0,23,0.0,0.0,0.0
1950,3,hampshire,0.0,0,24,0.0,0.0,15.0
1950,3,paul_russo,0.0,0,25,0.0,0.0,0.0
1950,3,flaherty,0.0,0,26,0.0,0.0,0.0
1950,3,fry,0.0,0,27,0.0,0.0,16.0
1950,3,shawe_taylor,0.0,0,28,0.0,0.0,17.0
1950,3,fohr,0.0,0,29,0.0,0.0,0.0
1950,3,darter,0.0,0,30,0.0,0.0,0.0
1950,4,farina,18.0,2,1,9.0,1.0,1.0
1950,4,fagioli,12.0,0,2,6.0,0.0,4.0
1950,4,fangio,9.0,1,3,9.0,1.0,2.0
1950,4,parsons,9.0,1,4,9.0,1.0,3.0
1950,4,ascari,6.0,0,5,6.0,0.0,5.0
1950,4,holland,6.0,0,6,6.0,0.0,6.0
1950,4,rosier,6.0,0,7,2.0,0.0,13.0
1950,4,bira,5.0,0,8,2.0,0.0,14.0
1950,4,chiron,4.0,0,9,4.0,0.0,7.0
1950,4,reg_parnell,4.0,0,10,4.0,0.0,8.0
1950,4,rose,4.0,0,11,4.0,0.0,9.0
