season,round,circuit_id,lat,long,country,date,url
1950,1,silverstone,52.0786,-1.01694,UK,1950-05-13,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,2,monaco,43.7347,7.42056,Monaco,1950-05-21,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,3,indianapolis,39.795,-86.2347,USA,1950-05-30,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,4,bremgarten,46.9589,7.40194,Switzerland,1950-06-04,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,5,spa,50.4372,5.97139,Belgium,1950-06-18,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,6,reims,49.2542,3.93083,France,1950-07-02,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,7,monza,45.6156,9.28111,Italy,1950-09-03,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1951,1,bremgarten,46.9589,7.40194,Switzerland,1951-05-27,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,2,indianapolis,39.795,-86.2347,USA,1951-05-30,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,3,spa,50.4372,5.97139,Belgium,1951-06-17,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix
1951,4,reims,49.2542,3.93083,France,1951-07-01,http://en.wikipedia.org/wiki/1951_French_Grand_Prix
1951,5,silverstone,52.0786,-1.01694,UK,1951-07-14,http://en.wikipedia.org/wiki/1951_British_Grand_Prix
1951,6,nurburgring,50.3356,6.9475,Germany,1951-07-29,http://en.wikipedia.org/wiki/1951_German_Grand_Prix
1951,7,monza,45.6156,9.28111,Italy,1951-09-16,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix
1951,8,pedralbes,41.3903,2.11667,Spain,1951-10-28,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix
1952,1,bremgarten,46.9589,7.40194,Switzerland,1952-05-18,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix
1952,2,indianapolis,39.795,-86.2347,USA,1952-05-30,http://en.wikipedia.org/wiki/1952_Indianapolis_500
1952,3,spa,50.4372,5.97139,Belgium,1952-06-22,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix
1952,4,essarts,49.3306,1.00458,France,1952-07-06,http://en.wikipedia.org/wiki/1952_French_Grand_Prix
1952,5,silverstone,52.0786,-1.01694,UK,1952-07-19,http://en.wikipedia.org/wiki/1952_British_Grand_Prix
1952,6,nurburgring,50.3356,6.9475,Germany,1952-08-03,http://en.wikipedia.org/wiki/1952_German_Grand_Prix
1952,7,zandvoort,52.3888,4.54092,Netherlands,1952-08-17,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix
1952,8,monza,45.6156,9.28111,Italy,1952-09-07,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix
1953,1,galvez,-34.6943,-58.4593,Argentina,1953-01-18,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix
1953,2,indianapolis,39.795,-86.2347,USA,1953-05-30,http://en.wikipedia.org/wiki/1953_Indianapolis_500
1953,3,zandvoort,52.3888,4.54092,Netherlands,1953-06-07,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix
1953,4,spa,50.4372,5.97139,Belgium,1953-06-21,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix
1953,5,reims,49.2542,3.93083,France,1953-07-05,http://en.wikipedia.org/wiki/1953_French_Grand_Prix
1953,6,silverstone,52.0786,-1.01694,UK,1953-07-18,http://en.wikipedia.org/wiki/1953_British_Grand_Prix
1953,7,nurburgring,50.3356,6.9475,Germany,1953-08-02,http://en.wikipedia.org/wiki/1953_German_Grand_Prix
1953,8,bremgarten,46.9589,7.40194,Switzerland,1953-08-23,http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix
