season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium,url
1950,1,silverstone,farina,1906-10-30,Italian,alfa,1,8003600.0,Finished,9.0,1,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,fagioli,1898-06-09,Italian,alfa,2,8006200.0,Finished,6.0,2,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,reg_parnell,1911-07-02,British,alfa,4,8055600.0,Finished,4.0,3,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,cabantous,1904-10-08,French,lago,6,,+2 Laps,3.0,4,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,rosier,1905-11-05,French,lago,9,,+2 Laps,2.0,5,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,gerard,1914-01-19,British,era,13,,+3 Laps,0.0,6,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,harrison,1906-07-06,British,era,15,,+3 Laps,0.0,7,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,etancelin,1896-12-28,French,lago,14,,+5 Laps,0.0,8,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,hampshire,1917-12-29,British,maserati,16,,+6 Laps,0.0,9,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,fry,1915-10-26,British,maserati,20,,+6 Laps,0.0,10,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,shawe_taylor,1915-01-28,British,maserati,20,,+6 Laps,0.0,10,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,claes,1916-08-11,Belgian,lago,21,,+6 Laps,0.0,11,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,fangio,1911-06-24,Argentine,alfa,3,,Oil leak,0.0,12,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,kelly,1913-03-13,Irish,alta,19,,Not classified,0.0,13,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,bira,1914-07-15,Thai,maserati,5,,Out of fuel,0.0,14,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,murray,1909-12-28,British,maserati,18,,Engine,0.0,15,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,crossley,1921-05-11,British,alta,17,,Transmission,0.0,16,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,graffenried,1914-05-18,Swiss,maserati,8,,Engine,0.0,17,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,chiron,1899-08-03,Monegasque,maserati,11,,Clutch,0.0,18,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,martin,1915-03-24,French,lago,7,,Oil pressure,0.0,19,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,rolt,1918-10-16,British,era,10,,Gearbox,0.0,20,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,peter_walker,1912-10-07,British,era,10,,Gearbox,0.0,20,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,1,silverstone,leslie_johnson,1912-03-22,British,era,12,,Supercharger,0.0,21,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,2,monaco,fangio,1911-06-24,Argentine,alfa,1,11598700.0,Finished,9.0,1,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,ascari,1918-07-13,Italian,ferrari,7,,+1 Lap,6.0,2,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,chiron,1899-08-03,Monegasque,maserati,8,,+2 Laps,4.0,3,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,sommer,1906-08-31,French,ferrari,9,,+3 Laps,3.0,4,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,bira,1914-07-15,Thai,maserati,15,,+5 Laps,2.0,5,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,gerard,1914-01-19,British,era,16,,+6 Laps,0.0,6,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,claes,1916-08-11,Belgian,lago,19,,+6 Laps,0.0,7,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,villoresi,1909-05-16,Italian,ferrari,6,,Axle,0.0,8,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,etancelin,1896-12-28,French,lago,4,,Oil leak,0.0,9,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,gonzalez,1922-10-05,Argentine,maserati,3,,Accident,0.0,10,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,farina,1906-10-30,Italian,alfa,2,,Accident,0.0,11,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,fagioli,1898-06-09,Italian,alfa,5,,Accident,0.0,12,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,rosier,1905-11-05,French,lago,10,,Accident,0.0,13,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,manzon,1917-04-12,French,simca,11,,Accident,0.0,14,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,graffenried,1914-05-18,Swiss,maserati,12,,Accident,0.0,15,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,trintignant,1917-10-30,French,simca,13,,Accident,0.0,16,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,harrison,1906-07-06,British,era,14,,Accident,0.0,17,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,rol,1908-06-05,Italian,maserati,17,,Accident,0.0,18,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,schell,1921-06-29,American,cooper,20,,Collision,0.0,19,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,whitehead,1914-11-12,British,ferrari,21,,Engine,0.0,20,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,2,monaco,pian,1912-10-21,Argentine,maserati,18,,Accident,0.0,21,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,3,indianapolis,parsons,1918-07-04,American,kurtis_kraft,5,10015970.0,Finished,9.0,1,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,holland,1907-12-18,American,deidt,10,,+1 Lap,6.0,2,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,rose,1906-05-26,American,deidt,3,,+1 Lap,4.0,3,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,green,1919-09-30,American,kurtis_kraft,12,,+1 Lap,3.0,4,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,bettenhausen,1916-09-12,American,kurtis_kraft,9,,+2 Laps,1.0,5,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,chitwood,1912-04-14,American,kurtis_kraft,9,,+2 Laps,1.0,5,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,wallard,1910-09-07,American,moore,23,,+2 Laps,0.0,6,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,faulkner,1920-02-16,American,kurtis_kraft,1,,+3 Laps,0.0,7,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,george_connor,1906-08-16,American,lesovsky,4,,+3 Laps,0.0,8,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,paul_russo,1914-04-10,American,nichels,19,,+3 Laps,0.0,9,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,flaherty,1926-01-06,American,kurtis_kraft,11,,+3 Laps,0.0,10,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,fohr,1912-06-17,American,marchese,16,,+5 Laps,0.0,11,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,darter,1913-05-05,American,stevens,13,,+5 Laps,0.0,12,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,hellings,1915-09-14,American,kurtis_kraft,26,,+6 Laps,0.0,13,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,mcgrath,1919-10-08,American,kurtis_kraft,6,,Spun off,0.0,14,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,ruttman,1930-03-11,American,lesovsky,24,,+8 Laps,0.0,15,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,hartley,1926-01-28,American,langley,31,,+10 Laps,0.0,16,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,davies,1929-08-08,American,ewing,27,,+10 Laps,0.0,17,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,mcdowell,1915-01-29,American,kurtis_kraft,33,,+10 Laps,0.0,18,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,walt_brown,1911-12-30,American,kurtis_kraft,20,,+11 Laps,0.0,19,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,webb,1910-10-08,American,maserati,14,,+12 Laps,0.0,20,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,hoyt,1929-01-29,American,kurtis_kraft,15,,+13 Laps,0.0,21,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,ader,1913-12-15,American,rae,29,,+15 Laps,0.0,22,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,holmes,1920-09-04,American,olson,30,,Spun off,0.0,23,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,rathmann,1928-07-16,American,wetteroth,28,,+16 Laps,0.0,24,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,banks,1913-06-14,American,maserati,21,,Oil line,0.0,25,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,schindler,1909-03-06,American,snowberger,22,,Transmission,0.0,26,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,levrett,1914-02-14,American,adams,17,,Oil pressure,0.0,27,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,cantrell,1908-01-31,American,adams,17,,Oil pressure,0.0,27,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,3,indianapolis,agabashian,1913-08-21,American,kurtis_kraft,2,,Oil leak,0.0,28,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,4,bremgarten,farina,1906-10-30,Italian,alfa,2,7373700.0,Finished,9.0,1,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,4,bremgarten,fagioli,1898-06-09,Italian,alfa,3,7374100.0,Finished,6.0,2,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
